"talk.edits","words.added","editors","talk.density","talk.diameter","talk.clustering.coef","talk.kcore.gt.2","days.from.start.to.end","days.from.half.to.end","founding.date"
68,52672,72,0.220833333333333,4,0.5,0.8125,647,152,"2004-11-11 23:33:14"
57,161361,133,0.0892307692307692,3,0.40495867768595,0.461538461538462,752,219,"2006-06-05 15:13:36"
14,251598,20,0.416666666666667,2,0,0,130,33,"2007-11-15 09:40:04"
30,223076,53,0.0824175824175824,2,0.0526315789473684,0,45,0,"2006-09-08 06:19:39"
38,176038,40,0.290909090909091,3,0.793103448275862,0.636363636363636,620,47,"2007-08-09 22:31:49"
27,237547,116,0.143939393939394,2,0.538461538461538,0.333333333333333,397,49,"2007-07-24 03:53:57"
10,288418,82,0.833333333333333,2,1,1,647,148,"2006-02-04 00:19:36"
96,218233,128,0.160130718954248,2,0.39647577092511,0.666666666666667,43,16,"2009-10-23 13:11:08"
130,91848,115,0.0457317073170732,4,0.146245059288538,0.24390243902439,345,42,"2007-11-29 19:20:29"
5,219895,33,0.5,1,NA,0,183,162,"2006-04-21 23:23:50"
6,82438,27,0.333333333333333,2,0,0,246,23,"2008-01-28 16:42:09"
4,172512,161,0.5,1,NA,0,244,99,"2007-05-30 09:46:36"
41,317700,79,0.1,3,0.260869565217391,0.45,622,80,"2007-02-01 19:25:32"
69,55944,8,0.166666666666667,2,0,0,24,5,"2009-02-05 08:46:14"
52,59927,248,0.0876923076923077,4,0.483870967741935,0.5,614,0,"2004-11-11 23:33:14"
0,447399,563,NA,0,NA,NA,748,59,"2004-08-11 14:17:31"
2,31570,10,0.5,1,1,0,29,12,"2008-02-22 23:12:16"
1,2005456,4,0.5,1,NA,0,3,0,"2008-12-08 22:55:13"
34,104775,25,0.0571428571428571,2,0.015625,0.142857142857143,36,10,"2009-08-08 18:44:42"
47,56143,92,0.035632183908046,2,0.0146341463414634,0,83,46,"2007-01-27 22:00:22"
0,51476,8,NA,0,NA,NA,168,90,"2006-01-25 12:54:46"
233,211241,211,0.0604881127708815,6,0.28005657708628,0.979591836734694,426,13,"2006-04-06 18:38:12"
26,371215,94,0.0735930735930736,4,0.435114503816794,0.409090909090909,1042,767,"2006-02-24 04:14:10"
5,131269,30,0.214285714285714,1,1,0.571428571428571,474,91,"2008-03-13 20:58:09"
116,378815,145,0.0825396825396825,6,0.427244582043344,0.611111111111111,791,211,"2004-11-11 23:33:14"
